Product,GHG Emissions,Freshwater Withdrawals
Wheat & Rye (Bread),1.6,648
Maize (Meal),1.7,216
Barley (Beer),1.2,17
Oatmeal,2.5,482
Rice,4.5,2248
Potatoes,0.5,59
Cassava,1.3,0
Cane Sugar,3.2,620
Beet Sugar,1.8,218
Other Pulses,1.8,436
Peas,1.0,397
Nuts,0.4,4134
Groundnuts,3.2,1852
Soymilk,1.0,28
Tofu,3.2,149
Soybean Oil,6.3,415
Palm Oil,7.3,6
Sunflower Oil,3.6,1008
Rapeseed Oil,3.8,238
Olive Oil,5.4,2142
Tomatoes,2.1,370
Onions & Leeks,0.5,14
Root Vegetables,0.4,28
Brassicas,0.5,119
Other Vegetables,0.5,103
Citrus Fruit,0.4,83
Bananas,0.9,115
Apples,0.4,180
Berries & Grapes,1.5,420
Wine,1.8,79
Other Fruit,1.1,154
Coffee,28.5,26
Dark Chocolate,46.7,541
Bovine Meat (beef herd),99.5,1451
Bovine Meat (dairy herd),33.3,2714
Lamb & Mutton,39.7,1803
Pig Meat,12.3,1796
Poultry Meat,9.9,660
Milk,3.2,628
Cheese,23.9,5605
Eggs,4.7,578
Fish (farmed),13.6,3691
Crustaceans (farmed),26.9,3515
